section,qualtrics_label,target_label,question_text,response_options
A. Measured items,policy_specific_6_1,policy_specific_6,How much do you support or oppose: — Investing more in green jobs and businesses,0 = Strongly oppose … 100 = Strongly support
A. Measured items,policy_specific_7_1,policy_specific_7,How much do you support or oppose: — Introducing laws to keep waterways and oceans clean,0 = Strongly oppose … 100 = Strongly support
A. Measured items,individual_meat_1,behavior_meat,How likely are you to engage in the following in the next 12 months? — Eat less meat,0 = Not likely at all … 100 = Extremely likely
A. Measured items,individual_transport_1,behavior_transport,"How likely are you to engage in the following in the next 12 months? — Walk, bicycle, carpool, or take public transportation more often instead of driving by yourself",0 = Not likely at all … 100 = Extremely likely
A. Measured items,individual_solar_1,behavior_solar,How likely are you to engage in the following in the next 12 months? — Install a solar panel,0 = Not likely at all … 100 = Extremely likely
A. Measured items,individual_fly_1,behavior_fly,How likely are you to engage in the following in the next 12 months? — Go on less personal (non-business) air travel,0 = Not likely at all … 100 = Extremely likely
A. Measured items,individual_talk_1,behavior_talk,How likely are you to engage in the following in the next 12 months? — Talk to friends and family about the importance of climate change,0 = Not likely at all … 100 = Extremely likely
A. Measured items,individual_donate_1,behavior_donate,How likely are you to engage in the following in the next 12 months? — Donate to an environmental NGO,0 = Not likely at all … 100 = Extremely likely
B. Constructed during cleaning,NA,age_band,"Age band, cut from age = 2026 − year_birth","Exact submission levels: 18-29 | 30-44 | 45-59 | 60+"
B. Constructed during cleaning,NA,funding_perceptions,Reverse of funding_5: 100 − funding_5 (higher = perceives funding too low / supports more funding),Slider 0–100
B. Constructed during cleaning,NA,newsletter_signup,"Recode of newsletter: Yes→1, No→0",0 / 1
B. Constructed during cleaning,NA,trust_competence,Mean of trust_competence_1..3,Slider 0–100
B. Constructed during cleaning,NA,trust_integrity,Mean of trust_integrity_1..3,Slider 0–100
B. Constructed during cleaning,NA,trust_benevolence,Mean of trust_benevolence_1..3,Slider 0–100
B. Constructed during cleaning,NA,trust_openness,Mean of trust_openness_1..3,Slider 0–100
B. Constructed during cleaning,NA,trust_multidimensional,"PRIMARY OUTCOME. Mean of the four trust subscales (competence, integrity, benevolence, openness)",Slider 0–100
B. Constructed during cleaning,NA,policy_role_mean,Mean of policy_role_1..4,Slider 0–100
B. Constructed during cleaning,NA,inst_trust_mean,Mean of inst_trust_epa/nasa/noaa/universities/federal_gov,Slider 0–100
B. Constructed during cleaning,NA,concern_mean,Mean of concern_1..3,Slider 0–100
B. Constructed during cleaning,NA,policy_specific_mean,Mean of policy_specific_1..7,Slider 0–100
B. Constructed during cleaning,NA,behavior_mean,Mean of behavior_meat/transport/solar/fly/talk/donate,Slider 0–100
