study,spec,row_type,cluster,n_arms,n_outcomes,n_per_arm,n_control,raw_sd_btw,raw_sd_wth,raw_mix,noise_var_btw,noise_var_wth,noise_frac_btw,noise_frac_wth,cor_sd_btw,cor_sd_wth,cor_mix,mix_lo10,mix_hi90,xfit_sd_btw,xfit_sd_wth,xfit_mix,share_wth,mix_reg,sd_b0,sd_w0,mix_k16,one_construct,n_constructs,n_scale_types,has_behavioural,assertion_match,arm_contrast_kind,modality_hetero,has_oppositional_arm,arm_family,domain,sample,notes
schmid2023_E3,schmid2023_E3,study,schmid,5,5,199,204,6.15350014337784,5.718658222858733,0.929334214611652,2.3721444742716122,2.557296514684095,0.06264648463601487,0.07819748826072714,5.957635398400902,5.490515035512216,0.9215929925798972,0.7444966915432097,1.1780009188573932,5.9329672344991815,5.497467353862227,0.9265966145734638,0.4592646906850194,0.9217079748371515,5.287436117957649,6.1385824254449926,1.079557029344238,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,denier tone x advocate hostile/neutral/absent,vaccination debate,EN online,
schmid2023_E4,schmid2023_E4,study,schmid,5,5,200,197,9.575842093621986,7.3904435023559225,0.7717800095386228,2.8912449738468773,2.8722331061271635,0.031530505901566315,0.052587034551355674,9.423667376777251,7.193498596329029,0.7633438563478983,0.6576392850111235,0.9148198684135687,9.424675325561434,7.205232567823825,0.7645072449638581,0.3681658620158131,0.7634976528612863,8.710275616436538,8.042575928720513,0.8711158593572882,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,denier tone x advocate hostile/neutral/absent,vaccination debate,EN online,
gateway_Maertens2020,gateway_Maertens2020,study,gateway,3,5,120,120,2.548352812624887,1.1081585488444288,0.43485287569070513,1.906203826422655,2.254601051377948,0.29352846775605757,1.8359713629005934,2.1419379615643668,0.0,0.0,0.0,0.7357000584064598,2.133177609392356,0.0,0.0,0.0,0.10383036836758333,2.1419379615643668,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,consensus / inoculation / balanced (all deliver 97%),climate consensus + belief,US online,
gateway_vdL2017,gateway_vdL2017,study,gateway,5,5,362,362,2.368311074936911,4.751809849385405,2.0064128820205713,0.9418567537581037,2.0892128548678217,0.16792190966902945,0.09252616938285937,2.160333445075256,4.526641579565178,2.09534393400436,1.5439252913717358,3.495762842868184,2.152990517382064,4.51038531950128,2.0949397050692533,0.8144872887484477,2.086750515291044,-0.67496696478521,5.060939140842381,4.57898007046059,0.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,pie chart / counter-message only / inoculation combos,climate consensus + belief,US online,
veckalov2024,veckalov2024_all27,study,geiger,2,7,3507,3512,1.9657069776511193,0.17864164256522716,0.09087908045109107,0.07092274366472538,0.05474481466221804,0.01835472869506494,1.715448099813271,1.9475834201187823,0.0,0.0,0.0,0.12198788888975899,1.9469244744916165,0.0,0.0,0.0,0.11406311376124341,1.9475834201187823,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,2 near-synonymous consensus messages,climate consensus + belief + trust,27 countries,
hackenburg2025,hackenburg_10issues_pooled,study,hackenburg,8,4,247,518,1.6875975650195194,3.5832440257712657,2.123281106849559,0.5169517265078019,4.07966088967242,0.1815148704170824,0.31773956319260327,1.5267723520394285,2.9597258080019926,1.938550828516417,0.8284172506396992,4.926758652178288,1.53251403155476,2.9508588529499207,1.9255020131569216,0.7898267449583708,1.9235549719145404,1.0390421307360114,3.164079980667465,2.346010750101407,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,8 LLM-family message generators (huge capability spread),policy attitude (10 issues),US Prolific,
voelkel2026,voelkel2026_ancova_8out,variant,,10,8,1027,3077,0.3178476493207097,0.7781154333659293,2.4480767280452884,0.044825048107139956,0.12144846554121753,0.44369318335815316,0.20058754976604168,0.23706977890815373,0.6957119821456508,2.934629564973718,1.9141640499911783,6.368072314302795,0.2466313946032726,0.6970627864766755,2.8263343667093146,,,,,,,,,,,,,,,,,"ANCOVA (post residualised on pre, pooled slope) - same estimand, 5x less noise; disagrees with the DIM spec (mix 2.93 vs 1.44) => v26 mix is weakly determined"
gateway_vdL2017,gateway_vdL2017_ancova,variant,,5,5,362,362,2.2962923313955867,4.812785930477539,2.0958942660199265,0.2949132192099186,0.5523458540723437,0.05592936504605908,0.023846135564384544,2.2311533456973014,4.75505652527183,2.131210091158362,1.7843923433004842,2.671973452457171,2.2286537859808044,4.75683380363799,2.134397829559948,,,,,,,,,,,,,,,,,ANCOVA variant CONFIRMS the DIM estimate (2.13 vs 2.10)
gateway_Maertens2020,gateway_Maertens2020_ancova,variant,,3,5,120,120,2.8735288290823195,0.8201056117137895,0.2854001683970213,0.4978732292360014,0.51764566255661,0.060295882724224224,0.7696495362899066,2.7855510590063153,0.3936083736505599,0.14130359318955407,0.0,0.2813877865328806,2.795548637761115,0.40654350362778824,0.14542530154416441,,,,,,,,,,,,,,,,,"ANCOVA variant CONFIRMS the DIM estimate (0.14 vs 0.00); band tightens to [0,0.28]"
vlasceanu2024,vlasceanu2024_global_4out,variant,,11,4,5131,5062,3.165035284814351,1.9636965449881283,0.6204343295665063,0.2164959631973126,0.28538002348929825,0.021611887133740466,0.07400734382406077,3.1306472798644287,1.889635969521382,0.6035927399662896,0.5212021288632369,0.7276510749570284,3.12985913357991,1.8881686631963652,0.6032759247655634,,,,,,,,,,,,,,,,,"all 63 countries (n/arm 5131) instead of US only; mix 0.60 vs 0.42 - sample, not design, moves it"
spampatti2023,spampatti2023_us_only,variant,,6,5,71,68,1.4390996119990591,2.882242954262942,2.0028099029637056,5.48487726833285,6.062948871813575,2.6484098954311683,0.7298317178056438,0.0,1.4981240187597284,inf,0.0,1.840829859427985,0.0,1.4978556597578059,inf,,,,,,,,,,,,,,,,,"US subsample only, n/arm 72; both components indistinguishable from 0"
hackenburg2025,hackenburg_electoral_college,variant,,8,4,244,557,1.130262359172178,2.6851440501137316,2.3756820956865035,0.21278466443554847,4.182689185992984,0.1665642507176397,0.5801234418377311,1.0318470507424582,1.7399164876131819,1.6862154971138767,0.0,3.3176106400043883,1.030315440536023,1.8004419650730599,1.747466740997667,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_border,variant,,8,4,244,512,0.7894911598205397,2.647293381338027,3.353164058150805,0.19010025337318218,3.7306483327095696,0.3049917928046479,0.5323290473722265,0.6581762970979728,1.8103905418904933,2.7506164379860794,0.0,7.358799807090374,0.6592838605776367,1.798153865508696,2.7274349836703564,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_affirmative_action,variant,,8,4,248,502,1.8333304857749024,2.219215018981063,1.2104827995826715,0.6752584992068673,4.027435451418068,0.20090397922906444,0.8177674550124346,1.6388539199284275,0.9473541307520918,0.5780589222945904,0.0,1.3821334980615134,1.6379334046292473,0.9284879787969045,0.5668655246744121,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_suicide,variant,,8,4,247,534,0.7047354773529318,2.568018801825117,3.6439471040551177,0.2593000760983895,3.85313144009583,0.522096009927771,0.584275163932357,0.48718786616815,1.6557744793393452,3.3986365308364728,0.0,7.001270220660183,0.4365838776391554,1.6554130922383212,3.7917412369646653,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_confinement,variant,,8,4,228,524,2.7944735720395912,7.273979934509257,2.602987556328982,1.1347545519923137,4.756602111006874,0.1453121471668794,0.08989853756708405,2.58347208090883,6.939321434883704,2.686044678463313,1.9000281068555918,4.706192855447362,2.599824402052831,6.940194442288193,2.669485845585644,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_foreign_aid,variant,,8,4,247,471,3.192357762420838,3.289942706121894,1.0305682980929605,0.7988156630056721,3.9378462097652127,0.07838328483476441,0.3638162401500331,3.0646912438748064,2.6240954250559256,0.8562348426780446,0.4430316537541976,1.3634376343994157,3.066745505399215,2.5337580354289035,0.8262042060445021,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_felon_voting,variant,,8,4,250,534,1.6524086975524401,2.487100444146716,1.5051363792932266,1.0567823029384722,4.323937391758998,0.3870353091356291,0.6990250622681975,1.293704835272899,1.3644527208796187,1.054686265118423,0.0,2.556975524725628,1.3207726351892815,1.3034464208811558,0.9868817585657788,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_veterans,variant,,8,4,233,546,0.5142767944640734,4.042726143756538,7.860992732463174,0.22986395671389823,4.2645966198931085,0.8691145519962089,0.26093318316950886,0.18605554173510808,3.4754910521420572,18.679857744254672,4.716260497897854,20.310738938486473,0.26617303118406554,3.4817396252174215,13.080737780717191,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_pensions,variant,,8,4,239,503,0.9423213281451754,3.095279415857044,3.284738786449478,0.2659410193565601,3.2516754840205078,0.2994934214587517,0.3393965922997784,0.7886878128389758,2.5157661215239813,3.189812344719999,1.4665374724595188,5.969190644787999,0.8015430398750596,2.545375375230635,3.175594133569415,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
hackenburg2025,hackenburg_medicaid,variant,,8,4,259,480,0.9155206829043184,2.6103669754261154,2.851237578975511,0.34591627795711466,4.468046670063047,0.41270019982911704,0.6557141686129372,0.7016137419324645,1.5316556650671322,2.18304684404908,0.0,6.134396434399423,0.7032649113385354,1.4531348197427487,2.066269475860773,,,,,,,,,,,,,,,,,single issue; 4 items of one construct as the outcome set
TARGET (benchmark megastudy),PREDICTION (not measured),prediction,target,16,13,1000,2000,,,,,,,,0.42,0.55,1.2,0.45,2.6,,,,0.6316558780538736,,,,1.2,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,16 earnest pro-trust text messages in 6 organizer-tagged families; the 4 interactive arms are NOT scored,trust in climate scientists + belief/policy/behaviour,"US census-quota ~18,000",sd_btw = sd over the 13 outcomes of ANCHORS_E resp_ctr (0.417); sd_wth from the voelkel2026/gligoric/spampatti message-level anchors. MSE-optimal PREDICTED mix = true mix x rho_within/rho_outcome ~ 0.45.
