moderator,level,outcome_class,message_family,row_type,interaction_pp_lo,interaction_pp_ctr,interaction_pp_hi,dispersion_rms_true_pp,dispersion_rms_true_UB95_pp,headroom_model_r2,n_studies,n_obs,n_cells,sources,notes
income,high-minus-low contrast,all_outcomes,ALL,measured,-0.989,-0.27,0.45,0.0,1.091,,1,13821,90,voelkel2026,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
education,high-minus-low contrast,all_outcomes,ALL,measured,-0.929,0.082,1.093,0.0,0.902,,1,34119,200,voelkel2024,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
age,high-minus-low contrast,all_outcomes,ALL,measured,-0.346,0.538,1.422,1.112,1.494,,1,34119,200,voelkel2024,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
gender,high-minus-low contrast,all_outcomes,ALL,measured,-0.636,0.096,0.828,0.397,0.901,,1,34119,200,voelkel2024,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
race_BlackWhite,high-minus-low contrast,all_outcomes,ALL,measured,-0.919,0.181,1.282,0.0,1.332,,1,34119,200,voelkel2024,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
race_HispWhite,high-minus-low contrast,all_outcomes,ALL,measured,-1.907,-0.046,1.815,1.332,2.571,,1,34119,200,voelkel2024,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
party,Republican-Democrat,all_outcomes,CONS_VALUES,measured,-0.626,0.105,0.837,,,,1,13821,36,voelkel2026,family omnibus chi2=3.77 df=4 p=0.44 -> no family x party differential detectable
party,Republican-Democrat,all_outcomes,DISTANCE,measured,-1.333,-0.234,0.865,,,,1,13821,9,voelkel2026,family omnibus chi2=3.77 df=4 p=0.44 -> no family x party differential detectable
party,Republican-Democrat,all_outcomes,EVIDENCE,measured,-1.38,-0.5,0.38,,,,1,13821,18,voelkel2026,family omnibus chi2=3.77 df=4 p=0.44 -> no family x party differential detectable
party,Republican-Democrat,all_outcomes,THREAT,measured,-1.862,-0.974,-0.086,,,,1,13821,18,voelkel2026,family omnibus chi2=3.77 df=4 p=0.44 -> no family x party differential detectable
party,Republican-Democrat,all_outcomes,WARMTH,measured,-1.85,-0.792,0.266,,,,1,13821,9,voelkel2026,family omnibus chi2=3.77 df=4 p=0.44 -> no family x party differential detectable
party,Republican-Democrat,attitude_slider_0_100,ALL,recommended,-1.4,0.0,1.4,0.6,1.4,0.5,4,113881,252,voelkel2026;geiger2026_vdL2019;vlasceanu2024_global;voelkel2024,grand-mean R-D interaction indistinguishable from 0; per-cell true rms 0.5-0.8pp; only outcome-level (all-arms-shared) structure is real
party,Republican-Democrat,behavioral_binary_or_dollar,ALL,recommended,-5.0,-1.5,1.0,2.5,4.2,,2,73261,32,"vlasceanu2024_global(SHAREcc,WEPT);voelkel2026(Donation)",binary/effortful behavioural outcomes are the ONLY place a party interaction is reliably non-zero and negative for Republicans
party,Republican-Democrat,any,ANY_SINGLE_MESSAGE,recommended,-0.6,0.0,0.6,0.0,0.6,,3,107580,334,voelkel2026;voelkel2024;vlasceanu2024_global,"ARM-SPECIFIC party interaction: not detectable anywhere. v26 arm-main chi2=10.2/9df, armXoutcome 52.9/72df; v24 armFE p=0.66. Use 0."
education,high-minus-low contrast,any,ALL,recommended,-1.1,0.0,1.1,0.0,1.1,,2,47940,290,voelkel2026;voelkel2024,observed cell variance BELOW noise floor in voelkel2026 for all five; exact-zero floor is honest. age is the one with a v24 (non-climate) exception.
age,high-minus-low contrast,any,ALL,recommended,-1.1,0.0,1.1,0.0,1.1,,2,47940,290,voelkel2026;voelkel2024,observed cell variance BELOW noise floor in voelkel2026 for all five; exact-zero floor is honest. age is the one with a v24 (non-climate) exception.
gender,high-minus-low contrast,any,ALL,recommended,-1.1,0.0,1.1,0.0,1.1,,2,47940,290,voelkel2026;voelkel2024,observed cell variance BELOW noise floor in voelkel2026 for all five; exact-zero floor is honest. age is the one with a v24 (non-climate) exception.
race,high-minus-low contrast,any,ALL,recommended,-1.1,0.0,1.1,0.0,1.1,,2,47940,290,voelkel2026;voelkel2024,observed cell variance BELOW noise floor in voelkel2026 for all five; exact-zero floor is honest. age is the one with a v24 (non-climate) exception.
income,high-minus-low contrast,any,ALL,recommended,-1.1,0.0,1.1,0.0,1.1,,2,47940,290,voelkel2026;voelkel2024,observed cell variance BELOW noise floor in voelkel2026 for all five; exact-zero floor is honest. age is the one with a v24 (non-climate) exception.
