id,claim,value,source_file,how_computed
K17,vlasceanu2024 WEPT direct effect holding post attitudes fixed,global -2.529 (SE 0.629); US -4.807 (SE 1.767),same,OLS WEPT_pp ~ treat + belief_mean + policy_mean
K18,vlasceanu2024 WEPT between-arm SD,global: noise-corrected 2.451 pp (11 arms); US 2.714 pp,same,var(ATE)-mean(SE^2)
K19,vlasceanu2024 WEPT arm heterogeneity IS effort/time driven,"arm-level corr(WEPT ATE, median condition_time_total) = -0.791 (11 arms); corr with SHARE ATE = -0.612",same,Pearson over arms
K20,vlasceanu2024 SHARE pooled ATE,global +6.398 pp (SE 0.838) at control rate 48.5%; US +7.70 pp at control rate 53.5%,same,"SHAREcc (0/1; ""I do not use social media"" = NA)"
K21,"vlasceanu2024 SHARE with ""no social media""->0",global +3.31 pp (SE 0.71) at control rate 37.4%; US +4.24 pp (SE 1.99) at control rate 41.4%; global noise-corrected between-arm SD 1.169 pp,/workspace/datasets/vlasceanu2024/downloads/data_notimers.csv,"raw Share var recoded 1->1, 0->0, 2->0"
K22,vlasceanu2024 attitude ATEs,"global belief +1.31, policy +1.11; US belief +4.53, policy +3.19 pp",data63.xlsx,means of Belief1-4 / Policy1-9 (0-100 sliders)
K23,voelkel2024 dictator game pooled ATE,"+4.221 pp in the pro-message direction (SE 0.378), n_tr=26,340 n_ct=5,568; control level 64.9 on the reverse-coded animosity scale",/workspace/datasets/voelkel2024/downloads/SDC - Data - Recoded.csv,"PA_DG, sign flipped so + = more money to outpartisan"
K24,voelkel2024: PA_DG is HALF of the PA composite,"PA == (PA_Out + PA_DG)/2 exactly for all 31,835 non-missing rows; individual corr(PA_Out,PA_DG)=0.391",same,identity check |(PA_Out+PA_DG)/2 - PA| == 0 for every row
K25,voelkel2024: DG vs the INDEPENDENT thermometer half,"arm-level corr(PA_DG ATE, PA_Out ATE) = 0.832 over 26 arms, slope 0.735; pooled ratio 4.221/4.812 = 0.877",same,Pearson/polyfit over 26 arms
K26,voelkel2024 DG between-arm SD,noise-corrected 2.864 pp (26 arms); PA_Out 3.287 pp,same,var(ATE)-mean(SE^2)
K27,voelkel2024 DG wording,"""You have been given 50 cents ... decide how to split these 50 cents between yourself and the [outparty] participant"", slider 0-50, real payment, everyone",/workspace/datasets/voelkel2024/downloads/SDC - Questionnaire.pdf,"pypdf text extraction, block ""Partisan Animosity: Dictator Game"""
K28,koetke2024 Study 5 opt-in item,"""After the survey, would you be interested in being sent information and tips for taking a break from social media? Yes / No / I don't use social media""",/workspace/datasets/koetke2024/downloads/Study 5/IH and Science 5 Survey Final.docx,"unzipped word/document.xml, stripped tags"
K29,koetke2024 S5 opt-in base rate and ATE,"control 44.0% (n=150); pooled treated-vs-control -8.03 pp (SE 4.64, t=-1.73, p=0.085); arms -9.38 / -4.84 / -10.21 pp",/workspace/datasets/koetke2024/downloads/Study 5/Study5CleanData.csv,"Behavior Follow recoded 1->1, 2->0, 3 dropped (as in the authors' own R script)"
K30,koetke2024 S5 matched attitude (METI trust),+1.37 / +3.33 / +1.69 pp of the 1-7 range; pooled +2.15 pp,same,"mean of METI_1..14, range 6"
K31,spampatti2023 WEPT ATE,pooled +0.676 pp (SE 1.048); arms -0.61..+2.12; control WEPT 1.50/8; matched affect +1.84 pp,/workspace/datasets/spampatti2023/downloads/Data/Preprocessed/Showdown_short.csv,"WEPT_90 (pages at >=90% accuracy, 0-8); affect = mean of Sci_1..10_Affect_1 and Act_1..10_Affect_1"
K32,spampatti2023 cannot detect a common shift,"its control ALSO read the disinformation; the contrast is message-vs-message, so any message-vs-nothing common shift is differenced out",same,design fact from Condition/Inoculation_Group coding
K33,bago2025 engagement,"personal-vs-original: upvotes +2.58 pp (SE 0.91), bookmarks -0.25 pp (SE 0.41), posterior belief +1.85 pp",/workspace/datasets/bago2025/downloads/anonim_df.csv,"counts over vote0..19 / bookmarked0..19, ranges 0-20"
K34,ANCHORS_I kappa claim independently verified,"regressing SPV_D arm ATEs on 100*phi(z*)*(dSPV/sd_SPV): r=0.974, slope=1.394, 26 arms, base rate 13.90%, sd_SPV=20.07",/workspace/datasets/voelkel2024/downloads/SDC - Data - Recoded.csv,recomputed from scratch; ratifies ANCHORS_I section 2.3(c)
K35,no train-split experiment donates to a SCIENTIFIC SOCIETY,"exhaustive column scan of all 14 experimental datasets for donat|petition|volunteer|sign.?up|subscri|newsletter|opt.?in|WEPT|dictator|cents|allocat|bookmark|upvote|click|follow|share found only: voelkel2026 Donation, vlasceanu2024 WEPTcc/Share, voelkel2024 PA_DG, koetke2024 S5 Behavior Follow, spampatti2023 WEPT_90, bago2025 votes/bookmarks","/workspace/datasets/{agley2021,attari2016,bago2025,gatewaybelief,geiger2026,gligoric2025,hackenburg2025,koetke2024,schmidbetsch2019,spampatti2023,tappin2023,vlasceanu2024,voelkel2024,voelkel2026}","glob over *.csv/*.xlsx, regex on column names"
K36,voelkel2024 dictator midpoint spike,"48.42% of non-missing PA_DG rows are exactly 50 (15,449/31,908) i.e. the 25c/25c even split",/workspace/datasets/voelkel2024/downloads/SDC - Data - Recoded.csv,(PA_DG==50).sum()/PA_DG.notna().sum(); ratifies ANCHORS_I section 2.2(b)
K37,target arm-size and scored-truth noise,"~1,000/intervention and ~2,000 control (16 arms + control at 2x over ~18,000); donation SD ~38 pp of range -> per-cell SE 1.48 (full) / 2.10 (scored half); newsletter at p=.13 SD 33.6 pp -> 1.30 / 1.84","/workspace/benchmark/survey/survey.qsf SurveyFlow (""Control (second for twice as many)"") + voelkel2026 donation sd 45.3 scaled",arithmetic; half-sample because the scorer evaluates against one random half (Human 1)
K38,expected directional credit for donation_ams,"posterior N(-0.7,0.9), scored-truth SE 2.10 -> negative prediction 0.620, exact zero 0.500, positive prediction 0.380",derived,Phi(|m|/sqrt(se_half^2+posterior_sd^2))
K39,expected directional credit for newsletter_signup,"posterior N(+0.4,0.9), scored-truth SE 1.84 -> positive prediction 0.577 vs 0.500 for an exact zero",derived,same formula
